"wheat_variable","variable","estimate","p_value","r_squared","season"
"mean_s","mean_SoilTMP295_1295cm_inst",1.37019480335884,0.00150582994678394,0.996990607630261,"preseason"
"mean_mn","mean_ESoil_tavg",0.346503216170313,0.00151981650228883,0.996962676837623,"preseason"
"mean_mn","mean_Qle_tavg",0.334435752869691,0.00166798036762673,0.996666821423253,"preseason"
"mean_protein","mean_SoilTMP295_1295cm_inst",164.695758383999,0.0117849129254663,0.976569058321728,"preseason"
"mean_mn","mean_Evap_tavg",908059.662670618,0.0130041070800815,0.974160892640787,"preseason"
"mean_ni","mean_SoilMoist_P_inst",-0.00127579381141133,0.0147374558592652,0.970742280886673,"preseason"
"mean_p","mean_Lwnet_tavg",0.0850679474386728,0.0178303115001178,0.964657297007956,"preseason"
"mean_ni","mean_TWS_inst",-0.00115524392570949,0.0203123748823244,0.959787842808711,"preseason"
"mean_mn","mean_TVeg_tavg",26.7367184866464,0.0305205429947887,0.939890417555119,"preseason"
"mean_ni","mean_SoilMoist_RZ_inst",-0.00842535275792575,0.0306963311622841,0.939549602422256,"preseason"
"mean_p","mean_ECanop_tavg",-1.92704160774756,0.0329953202567602,0.935098050645326,"preseason"
"mean_k","mean_Evap_tavg",-69032.3132580132,0.0422449000837503,0.917294831415585,"preseason"
"mean_ni","mean_SoilMoist_S_inst",-0.406115214501096,0.0427334227133947,0.916359299990012,"preseason"
"mean_p","mean_Wind_f_inst",-1.23165862060807,0.0439140745869378,0.914100296772951,"preseason"
"mean_tkw","mean_Wind_f_inst",6.68427583370637,0.0448392927952568,0.912331976587865,"preseason"
"mean_ca","mean_SWdown_f_tavg",0.00155483260214649,0.0467815471846994,0.908625418787595,"preseason"
"mean_tkw","mean_ACond_tavg",1770.98095979259,0.0489322664081996,0.904529833879444,"preseason"
"mean_mn","mean_Tair_f_inst",0.728625030705051,0.0514070836190052,0.899828521008201,"preseason"
"mean_ca","mean_ACond_tavg",10.6736706593204,0.0532893116745432,0.89626112738966,"preseason"
"mean_zn","mean_Evap_tavg",-1957311.87180243,0.0585552514492455,0.886318214573793,"preseason"
"mean_mn","mean_SnowT_tavg",0.74104697868957,0.0642813230121261,0.875569442463937,"preseason"
"mean_mn","mean_AvgSurfT_inst",0.739467725846271,0.0644226442183174,0.875304988651445,"preseason"
"mean_fe","mean_SoilTMP29_68cm_inst",1.43712562477279,0.0684732212654773,0.867742139499516,"preseason"
"mean_fe","mean_Snowf_tavg",-957658.685483608,0.0708988030061513,0.863229034255402,"preseason"
"mean_ni","mean_Rainf_f_tavg",-35211.7327798977,0.0752864271185558,0.855095191871166,"preseason"
"mean_k","mean_Qle_tavg",-0.024241525485599,0.0763161890042784,0.85319178269558,"preseason"
"mean_tkw","mean_SWdown_f_tavg",0.248470484765622,0.0776883727128057,0.850658737829153,"preseason"
"mean_k","mean_ESoil_tavg",-0.025013739635345,0.0799490245406104,0.846493797443775,"preseason"
"mean_mn","mean_Snowf_tavg",-774602.510644054,0.0809610965386147,0.844632506075505,"preseason"
"mean_fe","mean_SnowT_tavg",0.888228612309737,0.0828896633736052,0.841091369546979,"preseason"
"mean_fe","mean_AvgSurfT_inst",0.886338487925484,0.0830252890234945,0.840842620570446,"preseason"
"mean_fe","mean_LWdown_f_tavg",0.26170025776972,0.0886518198341235,0.830555505491655,"preseason"
"mean_ni","mean_Qh_tavg",0.0113339924122015,0.0903204548629081,0.827516874840827,"preseason"
"mean_protein","mean_Wind_f_inst",-45.3040623012657,0.0906834592681578,0.826856571248524,"preseason"
"mean_zn","mean_SoilTMP295_1295cm_inst",50.9916828195563,0.0933609880318431,0.821994298022596,"preseason"
"mean_fe","mean_SoilTMP10_29cm_inst",1.21036271029257,0.0963225005177334,0.816633023070522,"preseason"
"mean_zn","mean_Qle_tavg",-0.682482241570833,0.0984548072209678,0.812783734622982,"preseason"
"mean_zn","mean_ESoil_tavg",-0.705069241899384,0.100921121986118,0.808342828890701,"preseason"
"mean_fe","mean_SoilTMP68_144cm_inst",2.67907405910311,0.102026213871417,0.806356920574103,"preseason"
"mean_ni","mean_Qs_acc",-15.0959889542082,0.102079961327693,0.806260395849277,"preseason"
"mean_tkw","mean_Lwnet_tavg",-0.421079782435036,0.105046493754177,0.800941778341693,"preseason"
"mean_fe","mean_Tair_f_inst",0.840562385254754,0.105164892673463,0.800729869304094,"preseason"
"mean_p","mean_Evap_tavg",-142323.968837287,0.106539227318848,0.798272152320001,"preseason"
"mean_fe","mean_SoilTMP144_295cm_inst",4.62186805078896,0.109011005012884,0.793861389188151,"preseason"
"mean_fe","mean_SoilTMP0_10cm_inst",1.10144367450819,0.109593492858166,0.792823747960521,"preseason"
"mean_ca","mean_TWS_inst",-0.000162698683177024,0.109881402220039,0.792311118113763,"preseason"
"mean_ca","mean_SoilMoist_RZ_inst",-0.00119215980268685,0.115177523789465,0.782910814407343,"preseason"
"mean_k","mean_Lwnet_tavg",0.0346745415105106,0.115218765685682,0.782837832594768,"preseason"
"mean_zn","mean_TVeg_tavg",-54.8564514080888,0.119778315273452,0.774790214262843,"preseason"
"mean_ca","mean_SoilMoist_S_inst",-0.0577046770069321,0.12250518508892,0.769997150195829,"preseason"
"mean_k","mean_TVeg_tavg",-1.89548684598762,0.122691438463641,0.769670312144995,"preseason"
"mean_p","mean_CanopInt_inst",103.057018407448,0.123750969539065,0.767812363383728,"preseason"
"mean_k","mean_SoilTMP295_1295cm_inst",1.70726152546699,0.124406859703307,0.766663347334624,"preseason"
"mean_fe","mean_Qair_f_inst",7772.1626618669,0.124914151620768,0.7657752420336,"preseason"
"mean_p","mean_Swnet_tavg",-0.0353012737846148,0.126316541375865,0.763322785873431,"preseason"
"mean_p","mean_Albedo_inst",0.0711513620794949,0.130100931443835,0.756724389474882,"preseason"
"mean_p","mean_SnowDepth_inst",9.29811453036175,0.131754150120776,0.753850855832496,"preseason"
"mean_k","mean_Wind_f_inst",-0.505429956936022,0.132894070680172,0.751872692661602,"preseason"
"mean_p","mean_Qle_tavg",-0.0499476426912816,0.138859966641577,0.741562157052546,"preseason"
"mean_p","mean_SWE_inst",0.0359868341577127,0.143273476580945,0.733980335929701,"preseason"
"mean_k","mean_ECanop_tavg",-0.77097870635926,0.144963862498477,0.731086796433525,"preseason"
"mean_ca","mean_Swnet_tavg",0.0011359588333095,0.145232960210382,0.730626692310705,"preseason"
"mean_mg","mean_SoilTMP295_1295cm_inst",0.754170039785524,0.145483299738452,0.730198791025885,"preseason"
"mean_ca","mean_SWE_inst",-0.00118048671382492,0.145560906062891,0.730066165248067,"preseason"
"mean_p","mean_ESoil_tavg",-0.0512832242470994,0.146499098188444,0.728463789393138,"preseason"
"mean_ca","mean_SoilMoist_P_inst",-0.000171262760813486,0.146734215502334,0.728062498994417,"preseason"
"mean_s","mean_Wind_f_inst",-0.349915415321733,0.147027219309088,0.727562564599588,"preseason"
"mean_protein","mean_Lwnet_tavg",2.84299563709727,0.151272767601062,0.720337915015561,"preseason"
"mean_ca","mean_CanopInt_inst",-3.26173096093088,0.156821449066327,0.710950068754608,"preseason"
"mean_mn","mean_Qsm_acc",-48.3390316584938,0.158105962330394,0.708785570663632,"preseason"
"mean_tkw","mean_ECanop_tavg",9.05046708264479,0.163965906622198,0.698953005290044,"preseason"
"mean_mn","mean_Psurf_f_inst",-0.0240090354100909,0.16467686090284,0.697764746711134,"preseason"
"mean_zn","mean_Lwnet_tavg",0.940307961281238,0.168182506866766,0.691920341882457,"preseason"
"mean_zn","mean_Wind_f_inst",-13.9541780111661,0.170057133760259,0.688805161222236,"preseason"
"mean_mn","mean_SoilTMP68_144cm_inst",2.0086076816577,0.176664604005734,0.677881174297035,"preseason"
"mean_zn","mean_Psurf_f_inst",0.0534069935969734,0.177735053387832,0.676119642427111,"preseason"
"mean_tkw","mean_Swnet_tavg",0.179617465367063,0.181671245552484,0.669661950355623,"preseason"
"mean_p","mean_SoilTMP295_1295cm_inst",3.50362169137323,0.186954405623175,0.661043138535564,"preseason"
"mean_fe","mean_Qsm_acc",-56.915861652164,0.18943084190955,0.657022360047461,"preseason"
"mean_tkw","mean_CanopInt_inst",-515.229567905319,0.193570759910365,0.650328119271547,"preseason"
"mean_mn","mean_Rainf_tavg",767062.350550486,0.195007943845098,0.648012210472497,"preseason"
"mean_ca","mean_SnowDepth_inst",-0.280423851205552,0.203869592954375,0.633823625022632,"preseason"
"mean_tkw","mean_SWE_inst",-0.181122450322622,0.206245197345274,0.630046686737444,"preseason"
"mean_ca","mean_Qs_acc",-2.05920236812993,0.209821821850048,0.624381553224376,"preseason"
"mean_p","mean_SWdown_f_tavg",-0.0391829154563916,0.209896269461373,0.624263905011055,"preseason"
"mean_zn","mean_ECanop_tavg",-20.5146878032649,0.211249296682364,0.622127671984064,"preseason"
"mean_mn","mean_Albedo_inst",-0.371934298952147,0.212672546797367,0.619884518566544,"preseason"
"mean_fe","mean_Qg_tavg",1.95646957157178,0.218254498559797,0.611126029021995,"preseason"
"mean_mn","mean_ECanop_tavg",8.97886949190359,0.219877756858728,0.60859071424377,"preseason"
"mean_s","mean_Lwnet_tavg",0.0215100732236424,0.220119637923809,0.608213379152093,"preseason"
"mean_k","mean_Psurf_f_inst",0.00175554114951759,0.220363975071118,0.607832331366907,"preseason"
"mean_mn","mean_SoilTMP0_10cm_inst",0.787362917944792,0.221598405479114,0.605909042352657,"preseason"
"mean_p","mean_Qsm_acc",7.73553342294708,0.221880611567419,0.605469782654693,"preseason"
"mean_p","mean_ACond_tavg",-266.316909806288,0.2230719747771,0.603617156376754,"preseason"
"mean_zn","mean_Rainf_tavg",-1670440.82193637,0.224242705455042,0.601799380039713,"preseason"
"mean_mn","mean_Qg_tavg",1.58709541363233,0.22447097344364,0.601445271031455,"preseason"
"mean_protein","mean_Evap_tavg",-4768187.19584542,0.226033591399044,0.599024001642662,"preseason"
"mean_mg","mean_Rainf_f_tavg",-28388.4940107859,0.227596478751948,0.596607199636389,"preseason"
"mean_tkw","mean_SoilTMP295_1295cm_inst",-18.038695977308,0.229418914684122,0.593795209046597,"preseason"
"mean_mn","mean_SoilTMP10_29cm_inst",0.842880507933467,0.2303971414097,0.592288559950361,"preseason"
"mean_protein","mean_ECanop_tavg",-59.148180331149,0.23254972958108,0.588979917566073,"preseason"
"mean_mn","mean_SoilTMP29_68cm_inst",0.95073684302792,0.246360482758595,0.567972521947858,"preseason"
"mean_s","mean_Evap_tavg",-38020.9167729243,0.250475987052721,0.561786245984593,"preseason"
"mean_p","mean_TVeg_tavg",-3.57559439266947,0.251183789718587,0.560725716780216,"preseason"
"mean_mn","mean_Lwnet_tavg",-0.374277316283305,0.251800183535203,0.559802965357956,"preseason"
"mean_tkw","mean_SnowDepth_inst",-43.1913641047802,0.257561890145157,0.551214346964833,"preseason"
"mean_ca","mean_Qh_tavg",0.0014247516096272,0.262274871630122,0.544238365028352,"preseason"
"mean_k","mean_Albedo_inst",0.0272585263775729,0.263466297780076,0.542481894505787,"preseason"
"mean_k","mean_Rainf_tavg",-54419.5169670046,0.271018183672337,0.531414488536379,"preseason"
"mean_ca","mean_ECanop_tavg",0.0476976095733443,0.272294703864217,0.529554998024067,"preseason"
