"wheat_variable","variable","estimate","p_value","r_squared","season"
"mean_ca","mean_Qs_acc",-2.00166053658919,0.0181514259996945,0.964026622266434,"preseason"
"mean_protein","mean_Wind_f_inst",-51.8287392861772,0.0269449044995447,0.9468362188794,"preseason"
"mean_s","mean_SoilTMP295_1295cm_inst",1.36038191623681,0.0363430222826737,0.928634770703291,"preseason"
"mean_p","mean_SoilTMP295_1295cm_inst",4.25260517846509,0.037861572963935,0.925710352779433,"preseason"
"mean_k","mean_SoilTMP295_1295cm_inst",2.29676958262704,0.040355207222799,0.920918128304397,"preseason"
"mean_ni","mean_SoilMoist_P_inst",-0.00132249570551063,0.0449366558448553,0.912145991348808,"preseason"
"mean_protein","mean_SoilTMP295_1295cm_inst",166.667228548395,0.0645768355944491,0.875016496506494,"preseason"
"mean_mn","mean_SoilTMP144_295cm_inst",4.26712805473985,0.0664270361715175,0.871558478791497,"preseason"
"mean_ca","mean_Rainf_f_tavg",-4304.45332004943,0.0677855518206026,0.869023777394418,"preseason"
"mean_ni","mean_TWS_inst",-0.00117444534989645,0.0686494699572955,0.867413809810827,"preseason"
"mean_ni","mean_Qh_tavg",0.0123114397836288,0.0759812545311464,0.853810641977834,"preseason"
"mean_ca","mean_Qsm_acc",-0.234141461428556,0.0846571030712114,0.837852618957987,"preseason"
"mean_ca","mean_SoilMoist_S_inst",-0.0470566629487165,0.0852914175518628,0.836691790804281,"preseason"
"mean_p","mean_Wind_f_inst",-1.20780765281373,0.0859095885283628,0.835561280344387,"preseason"
"mean_protein","mean_Lwnet_tavg",3.26844056778868,0.0873140239769908,0.832995690829073,"preseason"
"mean_ca","mean_Albedo_inst",-0.00191619646156735,0.0895099534312316,0.828992124900798,"preseason"
"mean_zn","mean_Psurf_f_inst",0.078505440829873,0.0904934355186387,0.827202190834689,"preseason"
"mean_ni","mean_SoilMoist_RZ_inst",-0.00840971643390214,0.0952688566828275,0.818538441687998,"preseason"
"mean_ca","mean_SnowDepth_inst",-0.249039410227351,0.0962143840506952,0.816828439596865,"preseason"
"mean_ni","mean_Rainf_f_tavg",-36426.1766490696,0.105459827308617,0.80020212055873,"preseason"
"mean_ca","mean_SoilMoist_RZ_inst",-0.000934734232638684,0.113175048585604,0.786458494451146,"preseason"
"mean_ni","mean_SoilMoist_S_inst",-0.40218342684713,0.11350920401793,0.785865931360924,"preseason"
"mean_zn","mean_SoilTMP295_1295cm_inst",66.1971595160232,0.114340371848884,0.784392976936773,"preseason"
"mean_ca","mean_SWE_inst",-0.000956315613590109,0.115191395010553,0.782886267463373,"preseason"
"mean_zn","mean_Rainf_tavg",-2527952.345881,0.11660264983147,0.78039087828478,"preseason"
"mean_p","mean_Lwnet_tavg",0.0784427833240343,0.117004744361803,0.779680621479564,"preseason"
