"wheat_variable","variable","estimate","p_value","r_squared","season"
"mean_fe","mean_SoilTMP29_68cm_inst",1.14085148538199,0.00887109737086797,0.982336501626828,"preseason"
"mean_fe","mean_LWdown_f_tavg",0.211766532493559,0.0115881954853463,0.976957895303914,"preseason"
"mean_fe","mean_SoilTMP10_29cm_inst",0.97763959384259,0.0216885566361513,0.957093280216657,"preseason"
"mean_fe","mean_SoilTMP0_10cm_inst",0.895822306947578,0.029382041446564,0.94209922146644,"preseason"
"mean_fe","mean_Qair_f_inst",6431.61363309017,0.0294249024896247,0.942016019907274,"preseason"
"mean_fe","mean_SoilTMP68_144cm_inst",2.14656869684468,0.0356733940616124,0.92992580292065,"preseason"
"mean_fe","mean_SoilTMP144_295cm_inst",3.73089822516038,0.0360186825269872,0.929259980437006,"preseason"
"mean_tkw","mean_SoilTMP295_1295cm_inst",-23.0219929000713,0.0459312716529232,0.910247138409808,"preseason"
"mean_mg","mean_SoilTMP295_1295cm_inst",0.746314204704451,0.0473826405478419,0.907479833529602,"preseason"
"mean_p","mean_Wind_f_inst",-1.12027699941417,0.0538718043868189,0.895158562534254,"preseason"
"mean_p","mean_Lwnet_tavg",0.0751577399561538,0.0559124369482173,0.891301326709054,"preseason"
"mean_protein","mean_SoilTMP295_1295cm_inst",150.950587314975,0.0580168914945736,0.887332176709546,"preseason"
"mean_tkw","mean_Wind_f_inst",6.79184164738844,0.0584721367912383,0.886474717198456,"preseason"
"mean_zn","mean_SoilTMP295_1295cm_inst",73.2905828034749,0.062470504410388,0.878961555100512,"preseason"
"mean_protein","mean_Wind_f_inst",-44.8184258179938,0.0644353878154688,0.875281143571992,"preseason"
"mean_mn","mean_ACond_tavg",-1542.49617620946,0.078661485168378,0.848864658912138,"preseason"
"mean_s","mean_Wind_f_inst",-0.401902611954903,0.0820404485414545,0.842649738113974,"preseason"
"mean_s","mean_Lwnet_tavg",0.0269978588220406,0.0828380327464869,0.841186074176334,"preseason"
"mean_s","mean_Evap_tavg",-49592.1963183575,0.0839758394107211,0.839100262783293,"preseason"
"mean_protein","mean_Lwnet_tavg",2.94719446597289,0.0849602100204839,0.837297817245757,"preseason"
"mean_k","mean_SoilTMP295_1295cm_inst",1.75126120796655,0.0878105728990303,0.832089550914796,"preseason"
"mean_s","mean_SoilTMP295_1295cm_inst",1.33432015703945,0.0889255164440114,0.830056714586811,"preseason"
"mean_ni","mean_SoilTMP295_1295cm_inst",0.856742295926454,0.0952517998434809,0.818569305686461,"preseason"
"mean_p","mean_ECanop_tavg",-1.65696788515519,0.0953729565147864,0.818350087804799,"preseason"
"mean_fe","mean_Qg_tavg",1.68775593171552,0.0961375307158685,0.816967363380408,"preseason"
"mean_p","mean_SoilTMP295_1295cm_inst",3.57870376339091,0.0964723739950976,0.816362170954055,"preseason"
"mean_zn","mean_Evap_tavg",-2604480.7859413,0.0987242793175386,0.81229792469169,"preseason"
"mean_mn","mean_SWdown_f_tavg",-0.217191728044082,0.103307098855446,0.804058158963037,"preseason"
"mean_p","mean_Evap_tavg",-131072.295687258,0.104787080481993,0.801406171271955,"preseason"
"mean_fe","mean_Tair_f_inst",0.621614394380269,0.113059383684199,0.786663656870653,"preseason"
"mean_ni","mean_Psurf_f_inst",0.000961392481865139,0.120862451980976,0.772882828336901,"preseason"
"mean_s","mean_ECanop_tavg",-0.593542266473624,0.123634490366705,0.768016506474825,"preseason"
"mean_fe","mean_SnowT_tavg",0.632752575599994,0.124348756304605,0.766765100585292,"preseason"
"mean_fe","mean_AvgSurfT_inst",0.630602372280491,0.125592713022321,0.764588103519665,"preseason"
"mean_fe","mean_Snowf_tavg",-672072.244426317,0.126086102974691,0.763725499413962,"preseason"
"mean_s","mean_Qle_tavg",-0.0171945540993429,0.127740228185546,0.760837109525804,"preseason"
"mean_k","mean_Psurf_f_inst",0.00193337067568089,0.127977238228817,0.760423697047042,"preseason"
"mean_protein","mean_Evap_tavg",-5160871.79877851,0.128773396984717,0.759035793801549,"preseason"
"mean_s","mean_ESoil_tavg",-0.0177047643660606,0.133008268400938,0.75167466266114,"preseason"
"mean_protein","mean_ECanop_tavg",-63.8310882030217,0.13864863546131,0.741926173192664,"preseason"
"mean_tkw","mean_Lwnet_tavg",-0.416943089783275,0.140320829100458,0.739048276878522,"preseason"
"mean_ca","mean_SoilTMP144_295cm_inst",-0.0243622689968391,0.145744450009663,0.729752544689293,"preseason"
"mean_zn","mean_Qle_tavg",-0.897631408604427,0.146907951551003,0.727766043126906,"preseason"
"mean_ni","mean_Rainf_tavg",-30892.7585895881,0.147893405709235,0.726085648033806,"preseason"
"mean_zn","mean_TVeg_tavg",-73.753687233648,0.148568335460401,0.724935879380672,"preseason"
"mean_zn","mean_ESoil_tavg",-0.927916720911552,0.148711565204094,0.724691999217264,"preseason"
"mean_p","mean_Qle_tavg",-0.0453258796070741,0.149796250930673,0.72284641493154,"preseason"
"mean_p","mean_ESoil_tavg",-0.046599927197601,0.156214822486138,0.7119734257921,"preseason"
"mean_k","mean_Rainf_tavg",-62019.5392114069,0.156233347326038,0.711942164164623,"preseason"
"mean_zn","mean_Psurf_f_inst",0.0750705500463502,0.168456543672795,0.691464519760595,"preseason"
"mean_ca","mean_Qair_f_inst",-40.4791678590234,0.170997895538074,0.687244489202302,"preseason"
"mean_protein","mean_Qle_tavg",-1.76510992243203,0.181646106096874,0.669703095666409,"preseason"
"mean_ca","mean_LWdown_f_tavg",-0.0012835618100887,0.186959377727553,0.661035053465168,"preseason"
"mean_protein","mean_ESoil_tavg",-1.815039064502,0.187683541650913,0.659858028504804,"preseason"
"mean_s","mean_TVeg_tavg",-1.31339928953673,0.190680677656711,0.654997765518201,"preseason"
"mean_ca","mean_Qg_tavg",-0.0110901927525969,0.193978428299867,0.649670774045952,"preseason"
"mean_ca","mean_ACond_tavg",10.670031516974,0.198388729583531,0.642580628858706,"preseason"
"mean_zn","mean_Wind_f_inst",-18.6860739499008,0.200416713415002,0.639333432186067,"preseason"
"mean_ni","mean_TVeg_tavg",-0.838658271693585,0.200733058944241,0.638827643064631,"preseason"
"mean_k","mean_TVeg_tavg",-1.69124341508802,0.20499562156082,0.632031961737467,"preseason"
"mean_k","mean_Evap_tavg",-55915.7563332167,0.212105517289515,0.620777715885623,"preseason"
"mean_zn","mean_Rainf_tavg",-2357478.50919073,0.212330148871175,0.620423794377305,"preseason"
"mean_ni","mean_Evap_tavg",-27570.8596936594,0.212360337521384,0.620376237909427,"preseason"
"mean_zn","mean_Lwnet_tavg",1.22578726750465,0.219856042424187,0.608624594542052,"preseason"
"mean_ca","mean_SoilTMP0_10cm_inst",-0.00529847893895268,0.220901223941022,0.606994902856597,"preseason"
"mean_ca","mean_SoilTMP10_29cm_inst",-0.00572506847271916,0.222511638286252,0.604488152600327,"preseason"
