year,rep,strip,field_stag_start,perennial_trt,yr_in_perennial,ca,fe,k,mg,mn,ni,p,s,zn,protein,tkw
2011,1,2,1,Alfalfa,2,0.316,36.819,4.290,2.065,49.332,0.434,4.849,1.591,36.239,163.950,21.413
2011,1,2,1,IWG,2,0.298,35.490,4.451,2.246,46.586,0.494,5.026,1.585,41.920,160.250,21.817
2011,1,2,1,MIX,2,0.329,35.254,4.557,2.204,38.337,0.762,4.868,1.587,40.079,153.000,19.299
2011,1,1,1,Alfalfa,3,0.325,35.086,4.464,2.216,45.983,0.542,4.748,1.500,33.235,153.900,21.977
2011,1,1,1,IWG,3,0.395,37.710,5.049,2.471,44.234,0.841,5.232,1.654,42.285,145.400,22.433
2011,1,1,1,MIX,3,0.339,31.372,4.475,2.132,31.747,0.461,4.516,1.423,43.544,139.750,21.555
2011,1,3,1,Alfalfa,4,0.370,33.708,4.255,2.215,41.667,0.277,5.351,1.666,29.750,186.150,21.054
2011,1,3,1,IWG,4,0.353,29.399,4.158,2.170,40.007,0.682,5.190,1.525,40.531,163.400,21.687
2011,1,3,1,MIX,4,0.350,34.465,4.506,2.351,34.387,0.451,5.582,1.594,47.187,163.350,20.455
2011,1,4,1,Alfalfa,5,0.407,32.067,4.541,2.140,33.254,0.082,5.249,1.668,32.985,186.600,21.894
2011,1,4,1,IWG,5,0.394,33.964,4.473,2.260,41.661,0.995,5.571,1.541,42.568,156.400,20.313
2011,1,4,1,MIX,5,0.380,29.637,4.209,2.002,29.959,0.207,5.014,1.566,33.741,181.500,23.793
2011,1,4,1,AFW,5,0.347,35.847,4.311,2.092,40.051,0.582,5.139,1.695,35.356,160.100,21.031
2011,2,2,1,Alfalfa,2,0.321,34.864,4.157,2.223,43.243,0.483,5.025,1.534,41.384,159.300,22.150
2011,2,2,1,IWG,2,0.279,35.079,4.059,2.074,48.510,0.497,4.856,1.413,39.303,154.500,21.808
2011,2,2,1,MIX,2,0.332,34.672,4.293,2.268,44.145,0.714,5.115,1.559,42.866,158.100,24.943
2011,2,1,1,Alfalfa,3,0.332,38.156,4.788,2.425,47.358,0.602,5.153,1.605,41.850,152.800,22.191
2011,2,1,1,IWG,3,0.343,38.548,4.868,2.386,52.441,0.557,5.113,1.586,41.416,148.000,20.862
2011,2,1,1,MIX,3,0.329,32.824,4.345,2.163,39.042,0.555,4.688,1.549,39.023,153.000,22.294
2011,2,3,1,Alfalfa,4,0.333,33.206,4.327,2.365,46.872,0.480,5.629,1.698,37.623,186.600,22.396
2011,2,3,1,IWG,4,0.324,33.784,4.189,2.222,51.865,0.511,5.361,1.581,45.272,163.350,22.034
2011,2,3,1,MIX,4,0.351,31.330,4.275,2.360,47.800,0.680,5.624,1.570,44.348,170.600,23.391
2011,2,4,1,Alfalfa,5,0.425,33.861,4.486,2.233,42.023,0.104,5.567,1.644,34.880,182.350,23.250
2011,2,4,1,IWG,5,0.304,37.774,4.251,2.330,49.696,0.407,5.595,1.559,46.866,165.850,21.793
2011,2,4,1,MIX,5,0.390,29.930,4.660,2.266,41.839,0.495,5.612,1.580,40.242,170.400,21.541
2011,2,4,1,AFW,5,0.353,36.500,4.637,2.026,40.879,0.439,5.371,1.601,31.196,155.400,19.223
2011,3,1,2,IWG,2,0.325,45.239,4.678,2.389,43.303,0.499,5.089,1.586,43.244,157.550,22.411
2011,3,1,2,MIX,2,0.329,37.579,4.605,2.263,41.896,0.268,4.941,1.652,40.556,159.600,22.561
2011,3,4,2,IWG,3,0.348,30.895,4.323,2.346,38.772,0.690,5.594,1.510,38.353,153.600,20.050
2011,3,4,2,MIX,3,0.471,34.114,4.714,2.269,28.026,0.243,5.583,1.647,39.259,181.300,19.915
2011,3,3,2,IWG,4,0.355,32.094,4.353,2.220,34.453,0.405,5.279,1.518,43.097,156.100,21.404
2011,3,3,2,MIX,4,0.359,32.715,4.437,2.336,32.671,0.389,5.545,1.585,43.934,167.400,20.662
2011,3,2,2,IWG,5,0.334,34.395,4.660,2.463,33.420,0.599,5.550,1.481,46.029,147.650,22.093
2011,3,2,2,MIX,5,0.343,33.804,4.535,2.302,31.659,0.410,5.276,1.530,44.483,154.650,20.769
2011,3,2,2,AFW,5,0.338,34.305,4.870,2.206,38.102,0.257,5.288,1.614,39.128,150.250,22.110
2011,4,1,2,Alfalfa,2,0.348,37.187,4.967,2.496,33.175,0.590,5.325,1.577,46.670,148.250,25.751
2011,4,1,2,IWG,2,0.387,30.408,4.856,2.317,34.477,0.744,5.045,1.521,43.334,139.500,20.742
2011,4,1,2,MIX,2,0.335,38.001,4.976,2.347,38.114,0.584,5.061,1.543,43.168,146.300,21.109
2011,4,4,2,Alfalfa,3,0.391,33.034,4.635,2.381,33.387,0.397,5.880,1.656,40.785,181.250,21.109
2011,4,4,2,IWG,3,0.421,29.366,4.550,2.295,36.373,0.949,5.760,1.531,43.434,155.300,20.870
2011,4,4,2,MIX,3,0.379,33.814,4.543,2.364,34.993,0.497,5.883,1.586,39.607,173.150,20.612
2011,4,3,2,Alfalfa,4,0.385,30.811,4.282,2.339,30.978,0.455,5.605,1.506,47.526,165.950,21.834
2011,4,3,2,IWG,4,0.381,33.744,4.241,2.252,35.893,0.542,5.194,4.137,83.615,160.200,21.583
2011,4,3,2,MIX,4,0.348,32.070,4.212,2.342,38.717,0.380,5.603,1.593,44.464,164.750,21.551
2011,4,2,2,Alfalfa,5,0.322,37.491,4.207,2.276,31.565,0.384,5.268,1.484,43.895,155.200,22.481
2011,4,2,2,IWG,5,0.336,35.094,4.464,2.263,41.550,0.609,5.219,1.505,43.927,150.850,20.916
2011,4,2,2,MIX,5,0.300,34.169,4.368,2.348,35.022,0.257,5.307,1.503,45.465,155.450,22.752
2011,4,2,2,AFW,5,0.343,35.537,4.587,2.355,40.423,0.423,5.594,1.650,47.290,159.000,21.095
2012,1,2,1,Alfalfa,2,0.345,39.995,4.362,2.202,47.239,0.366,4.448,1.347,30.269,121.700,24.687
2012,1,2,1,IWG,2,0.326,36.038,4.234,2.276,42.391,0.642,4.395,1.349,31.321,121.200,25.318
2012,1,2,1,MIX,2,0.359,34.282,4.307,2.384,33.603,0.179,5.305,1.272,34.640,123.250,25.277
2012,1,1,1,Alfalfa,3,0.353,36.357,4.225,2.088,42.488,0.436,4.251,1.277,25.166,113.650,25.493
2012,1,1,1,IWG,3,0.337,41.336,4.278,2.367,40.454,0.544,4.354,1.315,31.545,119.400,25.346
2012,1,1,1,MIX,3,0.346,31.503,3.825,2.185,31.300,0.167,4.718,1.223,30.850,118.200,24.381
2012,1,3,1,Alfalfa,4,0.344,40.301,3.633,1.979,44.148,0.318,3.738,1.430,24.797,142.550,25.088
2012,1,3,1,IWG,4,0.336,39.411,3.924,2.186,40.594,0.552,3.972,1.412,25.064,130.300,24.652
2012,1,3,1,MIX,4,0.355,43.595,3.794,2.322,39.426,0.180,4.736,1.483,27.204,142.100,25.361
2012,1,4,1,Alfalfa,5,0.432,46.977,4.150,2.502,48.996,0.606,4.219,1.708,25.994,164.750,24.377
2012,1,4,1,IWG,5,0.390,36.625,4.406,2.265,40.139,0.310,4.372,1.387,31.286,125.150,23.659
2012,1,4,1,MIX,5,0.404,41.706,3.666,2.290,41.631,0.310,4.656,1.516,24.698,160.300,24.036
2012,1,4,1,AFW,5,0.373,45.033,4.063,2.180,53.311,0.555,4.097,1.497,25.073,138.500,25.389
2012,2,2,1,Alfalfa,2,0.344,39.583,4.564,2.520,42.900,0.530,4.737,1.450,30.415,128.850,25.764
2012,2,2,1,IWG,2,0.367,37.440,4.448,2.211,44.570,0.541,4.606,1.363,33.757,115.000,26.729
2012,2,2,1,MIX,2,0.337,36.221,4.168,2.289,39.267,0.627,4.392,1.345,30.668,121.600,25.436
2012,2,1,1,Alfalfa,3,0.366,44.870,4.369,2.473,46.013,0.474,4.500,1.579,27.921,116.350,24.805
2012,2,1,1,IWG,3,0.362,45.303,4.530,2.301,49.302,0.637,4.627,1.389,33.027,114.650,26.002
2012,2,1,1,MIX,3,0.330,35.969,4.054,2.217,38.001,0.558,4.130,1.326,26.559,118.200,25.521
2012,2,3,1,Alfalfa,4,0.458,45.990,4.105,2.423,47.107,0.297,4.068,1.800,24.944,137.850,23.659
2012,2,3,1,IWG,4,0.314,36.509,4.243,2.244,42.904,0.570,4.471,1.332,30.118,113.600,25.284
2012,2,3,1,MIX,4,0.391,40.361,3.823,2.237,41.045,0.485,3.790,1.638,24.101,127.500,24.345
2012,2,4,1,Alfalfa,5,0.327,36.811,4.118,2.152,44.793,0.604,4.285,1.344,31.300,170.100,21.456
2012,2,4,1,IWG,5,0.326,35.027,4.125,2.099,42.936,0.490,4.195,1.341,29.520,117.900,23.983
2012,2,4,1,MIX,5,0.376,38.670,4.622,2.527,40.221,0.412,4.898,1.511,32.306,153.900,21.816
2012,2,4,1,AFW,5,0.380,39.695,3.954,2.084,50.186,0.520,3.968,1.522,24.076,141.900,23.608
2012,3,1,2,IWG,2,0.337,36.741,3.998,2.091,39.358,0.513,3.999,1.221,25.528,110.200,25.797
2012,3,1,2,MIX,2,0.353,36.624,4.131,2.114,41.280,0.519,4.209,1.254,26.900,111.550,25.640
